current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Logging to logs/A3C_20260329-162852
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 5 | Episode 380 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.1578 | Critic Loss: 0.0471 | Sigma: 0.3118
Worker 2 | Episode 390 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0445 | Critic Loss: 0.0758 | Sigma: 0.3116
Worker 1 | Episode 400 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0100 | Critic Loss: 0.0936 | Sigma: 0.3115
Worker 5 | Episode 410 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0560 | Critic Loss: 0.1074 | Sigma: 0.3115
Worker 2 | Episode 420 | Reward: 1.00 | Avg: 0.30 | Actor Loss: -0.1830 | Critic Loss: 0.3131 | Sigma: 0.3115
Worker 3 | Episode 430 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0156 | Critic Loss: 0.0518 | Sigma: 0.3116
Worker 5 | Episode 440 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.2096 | Critic Loss: 0.0495 | Sigma: 0.3116
Worker 3 | Episode 450 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0881 | Critic Loss: 0.0549 | Sigma: 0.3116
Worker 2 | Episode 460 | Reward: 0.00 | Avg: 0.60 | Actor Loss: -0.0086 | Critic Loss: 0.0574 | Sigma: 0.3116
Worker 5 | Episode 470 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.1953 | Critic Loss: 0.1016 | Sigma: 0.3114
Worker 0 | Episode 480 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.3417 | Critic Loss: 0.1095 | Sigma: 0.3113
Worker 5 | Episode 490 | Reward: 1.00 | Avg: 0.60 | Actor Loss: 0.4818 | Critic Loss: 0.3270 | Sigma: 0.3114
Worker 4 | Episode 500 | Reward: 1.00 | Avg: 0.50 | Actor Loss: 0.2997 | Critic Loss: 0.2966 | Sigma: 0.3113
Worker 3 | Episode 510 | Reward: 0.00 | Avg: 0.30 | Actor Loss: 0.1595 | Critic Loss: 0.1387 | Sigma: 0.3112
Worker 2 | Episode 520 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0078 | Critic Loss: 0.1415 | Sigma: 0.3112
Worker 4 | Episode 530 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0912 | Critic Loss: 0.1104 | Sigma: 0.3113
Worker 4 | Episode 540 | Reward: 1.00 | Avg: 0.60 | Actor Loss: 0.3440 | Critic Loss: 0.3069 | Sigma: 0.3114
Worker 5 | Episode 550 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.2192 | Critic Loss: 0.1031 | Sigma: 0.3113
Worker 2 | Episode 560 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.0685 | Critic Loss: 0.3394 | Sigma: 0.3114
Worker 3 | Episode 570 | Reward: 1.00 | Avg: 0.60 | Actor Loss: 0.0082 | Critic Loss: 0.3277 | Sigma: 0.3114
Worker 2 | Episode 580 | Reward: 1.00 | Avg: 0.40 | Actor Loss: 0.0720 | Critic Loss: 0.2387 | Sigma: 0.3113
Worker 2 | Episode 590 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.1672 | Critic Loss: 0.2555 | Sigma: 0.3113
Worker 0 | Episode 600 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0299 | Critic Loss: 0.0886 | Sigma: 0.3114
Worker 2 | Episode 610 | Reward: 0.00 | Avg: 0.00 | Actor Loss: 0.0196 | Critic Loss: 0.0550 | Sigma: 0.3115
Worker 4 | Episode 620 | Reward: 1.00 | Avg: 0.20 | Actor Loss: 0.0397 | Critic Loss: 0.4792 | Sigma: 0.3118
Worker 0 | Episode 630 | Reward: 0.00 | Avg: 0.10 | Actor Loss: 0.0055 | Critic Loss: 0.0156 | Sigma: 0.3120
Worker 0 | Episode 640 | Reward: 0.00 | Avg: 0.30 | Actor Loss: 0.0100 | Critic Loss: 0.0157 | Sigma: 0.3120
Worker 5 | Episode 650 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0571 | Critic Loss: 0.0195 | Sigma: 0.3119
Worker 1 | Episode 660 | Reward: 0.00 | Avg: 0.50 | Actor Loss: 0.0006 | Critic Loss: 0.0294 | Sigma: 0.3117
Worker 1 | Episode 670 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.1824 | Critic Loss: 0.0534 | Sigma: 0.3114
Worker 1 | Episode 680 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0106 | Critic Loss: 0.0606 | Sigma: 0.3113
Worker 1 | Episode 690 | Reward: 1.00 | Avg: 0.50 | Actor Loss: -0.0688 | Critic Loss: 0.3077 | Sigma: 0.3111
Worker 3 | Episode 700 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0450 | Critic Loss: 0.1245 | Sigma: 0.3110
Worker 5 | Episode 710 | Reward: 0.00 | Avg: 0.20 | Actor Loss: 0.0158 | Critic Loss: 0.0976 | Sigma: 0.3110
Worker 5 | Episode 720 | Reward: 1.00 | Avg: 0.20 | Actor Loss: 0.1274 | Critic Loss: 0.3870 | Sigma: 0.3111
Worker 3 | Episode 730 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.1166 | Critic Loss: 0.0482 | Sigma: 0.3111
Worker 3 | Episode 740 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0894 | Critic Loss: 0.0621 | Sigma: 0.3110
Worker 5 | Episode 750 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0149 | Critic Loss: 0.0500 | Sigma: 0.3112
Worker 1 | Episode 760 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.5326 | Critic Loss: 0.4225 | Sigma: 0.3113
Worker 4 | Episode 770 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.1188 | Critic Loss: 0.0430 | Sigma: 0.3112
Worker 2 | Episode 780 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0807 | Critic Loss: 0.0575 | Sigma: 0.3111
