theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,x,y,z,rx,ry,rz
1.0939150030253586e-07,1.032457,-0.10865530717958638,-0.923807,6.427718002299798e-07,-3.189412023374416e-08,-1.1841677831954083,-0.291144396222237,0.06093709371976669,1.5708116029407833,-0.00015432071440987314,-0.00016218141647413638
0.12693314590017923,1.159390036508679,0.01827772932909255,-0.7968739634913211,0.12693367928047916,0.1269330046145587,-1.0840561605579895,-0.43101106164020747,-0.15706968487756545,1.5825711250760413,-0.4006443381289532,0.3958481005912106
0.2538661824088573,1.286323073017357,0.1452107658377706,-0.6699409269826431,0.2538667157891572,0.25386604112323674,-0.9253277644352579,-0.5372209924539151,-0.35781699087216906,1.6180774940240277,-0.8124356624030302,0.7733195054666112
0.3807992189175362,1.4132561095260359,0.2721438023464495,-0.5430078904739641,0.38079975229783614,0.3807990776319157,-0.7219514501390037,-0.5939435953096942,-0.5302702401880892,1.6789267267103267,-1.2472847614572486,1.1104558541723588
0.5077322554262143,1.540189146034714,0.39907683885512757,-0.4160748539652861,0.5077327888065142,0.5077321141405937,-0.49400924590925877,-0.591597995589367,-0.6646287001064961,1.7675966406715213,-1.717572655800407,1.3777342962758048
0.6346652919348932,1.6671221825433928,0.5260098753638065,-0.28914181745660716,0.6346658253151931,0.6346651506492726,-0.2649733751429334,-0.5289276654546716,-0.7537934457897075,-1.7040256708369035,2.0189097361819432,-1.3824287082276032
0.7615983284435712,1.7940552190520709,0.6529429118724845,-0.16220878094792912,0.7615988618238712,0.7615981871579507,-0.0579453510738602,-0.41357828469465685,-0.7946168692161315,-1.3506367266578334,1.8621608939592311,-0.992732181847519
0.8885313649522502,1.9209882555607498,0.7798759483811635,-0.03527574443925019,0.8885318983325501,0.8885312236666296,0.10826562272017265,-0.2607794417081903,-0.7885858370788796,-1.0708085842016608,1.660150758830247,-0.5605000216166828
1.0154644014609282,2.047921292069428,0.9068089848898415,0.09165729206942785,1.0154649348412281,1.0154642601753077,0.2221818179692035,-0.09029680569640372,-0.7417057176652135,-0.8388401150664198,1.4234312114826604,-0.1118252479062414
1.1423974379696071,2.174854328578107,1.0337420213985204,0.21859032857810679,1.142397971349907,1.1423972966839866,0.28096963975465394,0.07760309048003891,-0.6635383822635726,-0.6359804355076971,1.1548497358035925,0.33383399824249804
1.269330474478286,2.3017873650867857,1.1606750579071994,0.3455233650867857,1.269331007858586,1.2693303331926655,0.28969697956851614,0.2260722492990801,-0.5655570345028031,-0.4480472081020677,0.8535383498046321,0.7589163048687282
1.396263510986964,2.4287204015954638,1.2876080944158774,0.47245640159546376,1.396264044367264,1.3962633697013436,0.25886050722083903,0.3443886285063499,-0.4591596377905197,-0.2638144985469621,0.5175509397824021,1.1449093449059644
1.5231965474956422,2.555653438104142,1.4145411309245555,0.5993894381041418,1.523197080875942,1.5231964062100216,0.2010602406481967,0.4287485299527823,-0.3537825081048689,-0.0742722217505665,0.14646390665126657,1.4706028233226256
1.650129584004321,2.6825864746128207,1.5414741674332344,0.7263224746128207,1.650130117384621,1.6501294427187005,0.12793818773891535,0.4810888756887799,-0.25554720603651077,0.12718658326382484,-0.2552612761989493,1.7116151068602516
1.777062620513,2.8095195111214997,1.6684072039419133,0.8532555111214997,1.7770631538933,1.7770624792273795,0.04832842659894873,0.5065524025910533,-0.1667552966480227,0.3435709798502442,-0.6739665686330184,1.8422436108652847
1.903995657021678,2.9364525476301777,1.7953402404505914,0.9801885476301777,1.903996190401978,1.9039955157360575,-0.03195247217331255,0.5106470860521812,-0.08634331344153429,0.5723127239511364,-1.0827050916833787,1.8412223781411872
